"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 11 21:14:13 GMT+06:00 2025","Tue Nov 11 21:14:24 GMT+06:00 2025","11077","All Test Suite","C:/Users/tahsa/IdeaProjects/Kinetik_Automation_Task/src/test/java/testcases","testcases.TestCase2","testcases.TestCase2","testCase2","testCase2",""
"passed","Tue Nov 11 21:14:02 GMT+06:00 2025","Tue Nov 11 21:14:13 GMT+06:00 2025","11000","All Test Suite","C:/Users/tahsa/IdeaProjects/Kinetik_Automation_Task/src/test/java/testcases","testcases.TestCase1","testcases.TestCase1","testCase1","testCase1",""
